TypingSpeed,MouseSpeed,ErrorRate,BlinkRate,Label
1.1327457489869357,125.18411766557796,0.0,0.0,Low
2.9994162265190485,1533.1526786241266,0.0,0.0,High
3.998240609307787,0.0,0.0,0.0,Low
2.665747853244184,0.0,0.0,0.0,Low
3.3324678337668776,0.0,0.0,0.0,Low
3.998621779866276,0.0,0.0,0.0,Low
1.6660668625126536,5472.03769745903,0.0,19.99280235015184,High
0.999780861884985,2756.6606478168155,0.0,19.9956172376997,High
2.999111915350231,0.0,0.0,0.0,Low
2.9992746676751985,0.0,0.1111111111111111,0.0,High
4.331774186667489,0.0,0.0,0.0,High
2.6653895669222694,0.0,0.0,0.0,Low
3.6658343244659903,0.0,0.0,0.0,Low
2.9954806800500497,0.0,0.1111111111111111,0.0,High
0.9996349555158142,1179.1003585314,0.0,0.0,High
1.999611294331079,3763.774675641279,0.0,0.0,High
21.3289956331392,2563.912143122729,0.0,59.98780021820399,High
16.996958005473747,5531.446530324425,0.0,39.99284236582058,High
13.995707715664327,4086.2588215055457,0.0,19.99386816523475,High
12.663464296389332,754.2823910569698,0.0,0.0,High
